system:index,ET
2004_05_16,132.47640249332144
2004_05_24,102.4166815078658
2004_06_01,106.45847432472542
2004_06_09,100.75322054021963
2004_06_17,84.85425942416147
2004_06_25,90.97744137726325
2004_07_03,88.49557732264765
2004_07_11,79.97945978035027
2004_07_19,77.12620955773227
2004_07_27,93.87901454437517
2004_08_04,92.64600771742357
2004_08_12,91.08875037102993
2004_08_20,142.76901157613528
2004_08_28,131.03318492134167
2004_09_05,156.29973285841496
2004_09_13,158.53962600178093
2004_09_21,203.83365983971493
2004_09_29,216.32490353220527
2004_10_07,257.2544375185515
2004_10_15,181.08673196794294
2004_10_23,277.06690412585334
2004_10_31,295.52466607301864
2004_11_08,298.3544672009498
2004_11_16,261.8588305135054
2004_11_24,332.4791332739685
2004_12_02,251.10068269516174
2004_12_10,334.9813000890471
2004_12_18,351.57738201246644
2004_12_26,237.31398040961707
2005_01_01,323.08898783021664
2005_01_09,332.7865241911547
2005_01_17,313.55351736420295
2005_01_25,337.1135054912436
2005_02_02,343.148590086079
2005_02_10,308.6762243989313
2005_02_18,316.9584446423271
2005_02_26,331.06654793707327
2005_03_06,302.87883644998493
2005_03_14,225.02647669931721
2005_03_22,204.97108934401894
2005_03_30,207.5960225586227
2005_04_07,209.43271000296824
2005_04_15,185.78112199465718
2005_04_23,153.22796081923414
2005_05_01,129.2163253190857
2005_05_09,94.7240724250519
2005_05_17,100.61905609973287
2005_05_25,104.5852775304244
2005_06_02,97.98955179578505
2005_06_10,78.9811813594538
2005_06_18,82.55583259127332
2005_06_26,76.56984268328878
2005_07_04,90.25461561294152
2005_07_12,85.03330365093495
2005_07_20,105.43953695458589
2005_07_28,107.31475215197383
2005_08_05,97.26559810032644
2005_08_13,107.7925200356188
2005_08_21,118.23520332442855
2005_08_29,145.13457999406353
2005_09_06,166.8596616206589
2005_09_14,157.54087266251102
2005_09_22,204.06280795488263
2005_09_30,237.93143365983977
2005_10_08,211.6912436924902
2005_10_16,204.9387355298308
2005_10_24,270.6185218165627
2005_11_01,299.97643217571976
2005_11_09,316.604214900564
2005_11_17,285.67966755713854
2005_11_25,281.440605520926
2005_12_03,403.5034134758089
2005_12_11,366.8540813297712
